name,price,comnum,link
 Python数据分析入门——从数据获取到可视化 沈祥壮 电子工业出版社 9787121336539【新华书店】,59.0,0,http://product.dangdang.com/1363171688.html
 Python深度学习 (印)尼基尔·盖德卡尔 杜长营 苏辉 清华大学出版社 9787302512875【新华书店】,59.0,0,http://product.dangdang.com/1363127488.html
 Python数据科学导论：概念 技术与应用 [西]劳拉·伊瓜尔(Laura Igual)等 机械工业出版社 97871,59.0,0,http://product.dangdang.com/1363038288.html
 Python 3 6零基础入门与实战 王启明 罗从良 清华大学出版社 9787302509301【新华书店】,59.0,0,http://product.dangdang.com/1362857688.html
 Python高性能 第2版 [加] 加布丽埃勒·拉纳诺(Gabriele Lanaro) 人民邮电出版社 978711,59.0,0,http://product.dangdang.com/1362807288.html
 Python数据科学实践指南 纪路 机械工业出版社 9787111566526【新华书店】,59.0,0,http://product.dangdang.com/1362773288.html
 Python数据挖掘：概念 方法与实践 [美] 梅甘·斯夸尔 机械工业出版社 9787111565482【新华书店】,59.0,0,http://product.dangdang.com/1362746088.html
 Python数据科学导论 [美]戴维·谢伦(Davy Cielen) 亚诺 D.B. 梅斯曼(Arno 机械工业出版社,59.0,0,http://product.dangdang.com/1362753188.html
 Python物理建模初学者指南 [美]Jesse M.Kinder [美] Philip Nelson 人民邮电出版社,59.0,0,http://product.dangdang.com/1362695188.html
 Python程序设计教程 林信良 清华大学出版社 9787302457862【新华书店】,59.0,0,http://product.dangdang.com/1362704388.html
 Python基础教程(第2版) 王欣 王文兵 人民邮电出版社 9787115488251【新华书店】,49.8,0,http://product.dangdang.com/1362677288.html
 Python和Pygame游戏开发指南 [美] Al Sweigart 斯维加特 人民邮电出版社 9787115407,59.0,0,http://product.dangdang.com/1362644688.html
 Python深度学习 [英] 尼格尔·刘易斯(N.D. Lewis) 人民邮电出版社 9787115482488【新华,59.0,0,http://product.dangdang.com/1362618788.html
 Python数据挖掘入门与实践 [澳] Robert Layton 人民邮电出版社 9787115427106【新华书,59.0,0,http://product.dangdang.com/1362596288.html
 Python 网络爬虫实战 胡松涛 清华大学出版社 9787302457879【新华书店】,59.0,0,http://product.dangdang.com/1362602088.html
 Python机器学习经典实例 (美)普拉提克·乔西(Prateek Joshi) 人民邮电出版社 9787115465,59.0,0,http://product.dangdang.com/1362597788.html
 Python数据分析实战 【意】内利(Fabio Nelli) 人民邮电出版社 9787115432209【新华书店】,59.0,0,http://product.dangdang.com/1362599088.html
